FID,id,port_id,data_src_c,port_coor_,the_geom,year,portcode,country,portname,vesseltype,tonnage,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex,vesselindex
portvessels.fid-4b2aae4e_16e5c9d12f3_181e,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Container ship,GT100-499,From 100 to 499 gross tonnage,0,0,2,1
portvessels.fid-4b2aae4e_16e5c9d12f3_181f,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Container ship,GT500-999,From 500 to 999 gross tonnage,0,0,3,1
portvessels.fid-4b2aae4e_16e5c9d12f3_1820,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Container ship,TOTAL,Total,0,0,0,1
portvessels.fid-4b2aae4e_16e5c9d12f3_1821,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT_GE300000,300 000 gross tonnage or over,0,0,23,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1822,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT100000-149999,From 100 000 to 149 999 gross tonnage,0,0,19,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1823,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT10000-19999,From 10 000 to 19 999 gross tonnage,0,0,13,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1824,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT1000-1999,From 1 000 to 1 999 gross tonnage,0,0,4,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1825,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT100-499,From 100 to 499 gross tonnage,0,0,2,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1826,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT150000-199999,From 150 000 to 199 999 gross tonnage,0,0,20,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1827,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT200000-249999,From 200 000 to 249 999 gross tonnage,0,0,21,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1828,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT20000-29999,From 20 000 to 29 999 gross tonnage,0,0,14,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1829,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT2000-2999,From 2 000 to 2 999 gross tonnage,0,0,5,2
portvessels.fid-4b2aae4e_16e5c9d12f3_182a,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT250000-299999,From 250 000 to 299 999 gross tonnage,0,0,22,2
portvessels.fid-4b2aae4e_16e5c9d12f3_182b,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT30000-39999,From 30 000 to 39 999 gross tonnage,0,0,15,2
portvessels.fid-4b2aae4e_16e5c9d12f3_182c,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT3000-3999,From 3 000 to 3 999 gross tonnage,0,0,6,2
portvessels.fid-4b2aae4e_16e5c9d12f3_182d,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT40000-49999,From 40 000 to 49 999 gross tonnage,0,0,16,2
portvessels.fid-4b2aae4e_16e5c9d12f3_182e,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT4000-4999,From 4 000 to 4 999 gross tonnage,3,13,7,2
portvessels.fid-4b2aae4e_16e5c9d12f3_182f,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT50000-79999,From 50 000 to 79 999 gross tonnage,0,0,17,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1830,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT5000-5999,From 5 000 to 5 999 gross tonnage,0,0,8,2
portvessels.fid-4b2aae4e_16e5c9d12f3_1831,69,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961),2006,FR_1FRCFR,FR,Caen,Cruise ship,GT500-999,From 500 to 999 gross tonnage,0,0,3,2
